FAB,LOT_ID,LOT_TYPE,PRODUCT,START_TIME,LOT_SIZE,DUE_DATE,PRIORITY
SIMTECH,LOT_1,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_2,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_3,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_4,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_5,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_6,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_7,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_8,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_9,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_10,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_11,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_12,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_13,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_14,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_15,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_16,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_17,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_18,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_19,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_20,Y,PRO_14,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_41,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_42,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_43,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_44,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_45,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_46,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_47,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_48,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_49,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
SIMTECH,LOT_50,Y,PRO_15,18/11/2021 0:00,15,20/11/2021 0:00,0
